N,K,trial,bytes
5,1,0,421
5,1,1,421
5,1,2,421
5,1,3,421
5,1,4,421
5,1,5,421
5,1,6,421
5,1,7,421
5,1,8,421
5,1,9,421
5,1,10,421
5,1,11,421
5,1,12,421
5,1,13,421
5,1,14,421
5,1,15,421
5,1,16,421
5,1,17,421
5,1,18,421
5,1,19,421
5,1,20,421
5,1,21,421
5,1,22,421
5,1,23,421
5,1,24,421
5,1,25,421
5,1,26,421
5,1,27,421
5,1,28,421
5,1,29,421
5,1,30,421
5,1,31,421
5,1,32,421
5,1,33,421
5,1,34,421
5,1,35,421
5,1,36,421
5,1,37,421
5,1,38,421
5,1,39,421
5,1,40,421
5,1,41,421
5,1,42,421
5,1,43,421
5,1,44,421
5,1,45,421
5,1,46,421
5,1,47,421
5,1,48,421
5,1,49,421
5,1,50,421
5,1,51,421
5,1,52,421
5,1,53,421
5,1,54,421
5,1,55,421
5,1,56,421
5,1,57,421
5,1,58,421
5,1,59,421
5,1,60,421
5,1,61,421
5,1,62,421
5,1,63,421
5,1,64,421
5,1,65,421
5,1,66,421
5,1,67,421
5,1,68,421
5,1,69,421
5,1,70,421
5,1,71,421
5,1,72,421
5,1,73,421
5,1,74,421
5,1,75,421
5,1,76,421
5,1,77,421
5,1,78,421
5,1,79,421
5,1,80,421
5,1,81,421
5,1,82,421
5,1,83,421
5,1,84,421
5,1,85,421
5,1,86,421
5,1,87,421
5,1,88,421
5,1,89,421
5,1,90,421
5,1,91,421
5,1,92,421
5,1,93,421
5,1,94,421
5,1,95,421
5,1,96,421
5,1,97,421
5,1,98,421
5,1,99,421
5,2,0,549
5,2,1,549
5,2,2,549
5,2,3,549
5,2,4,549
5,2,5,549
5,2,6,549
5,2,7,549
5,2,8,549
5,2,9,549
5,2,10,549
5,2,11,549
5,2,12,549
5,2,13,549
5,2,14,549
5,2,15,549
5,2,16,549
5,2,17,549
5,2,18,549
5,2,19,549
5,2,20,549
5,2,21,549
5,2,22,549
5,2,23,549
5,2,24,549
5,2,25,549
5,2,26,549
5,2,27,549
5,2,28,549
5,2,29,549
5,2,30,549
5,2,31,549
5,2,32,549
5,2,33,549
5,2,34,549
5,2,35,549
5,2,36,549
5,2,37,549
5,2,38,549
5,2,39,549
5,2,40,549
5,2,41,549
5,2,42,549
5,2,43,549
5,2,44,549
5,2,45,549
5,2,46,549
5,2,47,549
5,2,48,549
5,2,49,549
5,2,50,549
5,2,51,549
5,2,52,549
5,2,53,549
5,2,54,549
5,2,55,549
5,2,56,549
5,2,57,549
5,2,58,549
5,2,59,549
5,2,60,549
5,2,61,549
5,2,62,549
5,2,63,549
5,2,64,549
5,2,65,549
5,2,66,549
5,2,67,549
5,2,68,549
5,2,69,549
5,2,70,549
5,2,71,549
5,2,72,549
5,2,73,549
5,2,74,549
5,2,75,549
5,2,76,549
5,2,77,549
5,2,78,549
5,2,79,549
5,2,80,549
5,2,81,549
5,2,82,549
5,2,83,549
5,2,84,549
5,2,85,549
5,2,86,549
5,2,87,549
5,2,88,549
5,2,89,549
5,2,90,549
5,2,91,549
5,2,92,549
5,2,93,549
5,2,94,549
5,2,95,549
5,2,96,549
5,2,97,549
5,2,98,549
5,2,99,549
5,3,0,683
5,3,1,683
5,3,2,683
5,3,3,683
5,3,4,683
5,3,5,683
5,3,6,683
5,3,7,683
5,3,8,683
5,3,9,683
5,3,10,683
5,3,11,683
5,3,12,683
5,3,13,683
5,3,14,683
5,3,15,683
5,3,16,683
5,3,17,683
5,3,18,683
5,3,19,683
5,3,20,683
5,3,21,683
5,3,22,683
5,3,23,683
5,3,24,683
5,3,25,683
5,3,26,683
5,3,27,683
5,3,28,683
5,3,29,683
5,3,30,683
5,3,31,683
5,3,32,683
5,3,33,683
5,3,34,683
5,3,35,683
5,3,36,683
5,3,37,683
5,3,38,683
5,3,39,683
5,3,40,683
5,3,41,683
5,3,42,683
5,3,43,683
5,3,44,683
5,3,45,683
5,3,46,683
5,3,47,683
5,3,48,683
5,3,49,683
5,3,50,683
5,3,51,683
5,3,52,683
5,3,53,683
5,3,54,683
5,3,55,683
5,3,56,683
5,3,57,683
5,3,58,683
5,3,59,683
5,3,60,683
5,3,61,683
5,3,62,683
5,3,63,683
5,3,64,683
5,3,65,683
5,3,66,683
5,3,67,683
5,3,68,683
5,3,69,683
5,3,70,683
5,3,71,683
5,3,72,683
5,3,73,683
5,3,74,683
5,3,75,683
5,3,76,683
5,3,77,683
5,3,78,683
5,3,79,683
5,3,80,683
5,3,81,683
5,3,82,683
5,3,83,683
5,3,84,683
5,3,85,683
5,3,86,683
5,3,87,683
5,3,88,683
5,3,89,683
5,3,90,683
5,3,91,683
5,3,92,683
5,3,93,683
5,3,94,683
5,3,95,683
5,3,96,683
5,3,97,683
5,3,98,683
5,3,99,683
5,5,0,1026
5,5,1,1026
5,5,2,1026
5,5,3,1026
5,5,4,1025
5,5,5,1026
5,5,6,1026
5,5,7,1026
5,5,8,1026
5,5,9,1026
5,5,10,1025
5,5,11,1026
5,5,12,1026
5,5,13,1025
5,5,14,1026
5,5,15,1026
5,5,16,1026
5,5,17,1026
5,5,18,1026
5,5,19,1026
5,5,20,1026
5,5,21,1026
5,5,22,1026
5,5,23,1026
5,5,24,1026
5,5,25,1026
5,5,26,1026
5,5,27,1025
5,5,28,1026
5,5,29,1026
5,5,30,1026
5,5,31,1026
5,5,32,1026
5,5,33,1026
5,5,34,1026
5,5,35,1026
5,5,36,1026
5,5,37,1026
5,5,38,1024
5,5,39,1026
5,5,40,1026
5,5,41,1025
5,5,42,1026
5,5,43,1026
5,5,44,1026
5,5,45,1026
5,5,46,1026
5,5,47,1026
5,5,48,1026
5,5,49,1026
5,5,50,1026
5,5,51,1026
5,5,52,1026
5,5,53,1026
5,5,54,1026
5,5,55,1025
5,5,56,1026
5,5,57,1026
5,5,58,1026
5,5,59,1026
5,5,60,1026
5,5,61,1026
5,5,62,1026
5,5,63,1026
5,5,64,1026
5,5,65,1026
5,5,66,1026
